Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Education_bachelors,Median_home_value,Year
52313,237.0,48.5,75774.0,34715.0,23.0,9.70464135021097,12.0,-666666666.0,2020
52355,328.0,44.3,58056.0,28045.0,42.0,12.804878048780488,15.0,111400.0,2020
52158,250.0,53.1,37917.0,26127.0,34.0,13.6,34.0,106300.0,2020
52345,1462.0,32.3,91875.0,33223.0,52.0,3.556771545827633,190.0,157600.0,2020
52349,7765.0,46.6,51650.0,29282.0,1080.0,13.90856406954282,736.0,156900.0,2020
60062,39917.0,49.9,116579.0,69088.0,1630.0,4.083473206904326,10169.0,537800.0,2020
60074,37632.0,34.8,69416.0,35982.0,4549.0,12.088116496598639,6927.0,241300.0,2020
60085,71265.0,31.8,48435.0,21211.0,12733.0,17.867115694941415,4987.0,123700.0,2020
60097,10727.0,38.2,77401.0,33091.0,914.0,8.52055560734595,1173.0,166500.0,2020
60104,18799.0,36.1,63006.0,27244.0,2070.0,11.011224001276664,1537.0,161600.0,2020
60113,309.0,39.5,79583.0,71276.0,13.0,4.207119741100324,12.0,112500.0,2020
60120,50319.0,32.8,67780.0,24796.0,6536.0,12.989129354716907,3603.0,175000.0,2020
01079,515.0,52.3,32963.0,31500.0,0.0,0.0,39.0,195200.0,2020
01086,351.0,19.3,-666666666.0,1769.0,0.0,0.0,6.0,-666666666.0,2020
01093,295.0,52.4,97083.0,72930.0,22.0,7.4576271186440675,69.0,354000.0,2020
01094,428.0,49.1,-666666666.0,23328.0,143.0,33.41121495327103,49.0,198700.0,2020
01097,93.0,33.8,63750.0,18535.0,27.0,29.032258064516128,9.0,-666666666.0,2020
01199,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,0.0,-666666666.0,2020
01224,163.0,54.3,-666666666.0,69098.0,12.0,7.361963190184049,14.0,225700.0,2020
01229,59.0,70.1,-666666666.0,45980.0,0.0,0.0,11.0,425000.0,2020
01243,258.0,61.4,62708.0,47437.0,11.0,4.263565891472868,49.0,236200.0,2020
01260,191.0,57.7,107614.0,39969.0,27.0,14.136125654450261,54.0,666700.0,2020
01270,897.0,44.3,86912.0,52230.0,42.0,4.682274247491639,165.0,303400.0,2020
01343,78.0,46.4,73125.0,30297.0,3.0,3.8461538461538463,0.0,245500.0,2020
01347,139.0,30.4,-666666666.0,32244.0,45.0,32.37410071942446,23.0,157400.0,2020
01354,1732.0,46.5,68173.0,40917.0,93.0,5.369515011547344,470.0,255900.0,2020
01434,2007.0,44.7,96500.0,29171.0,142.0,7.075236671649228,324.0,329000.0,2020
01525,309.0,25.7,52750.0,20291.0,58.0,18.77022653721683,55.0,-666666666.0,2020
01561,102.0,81.4,-666666666.0,45840.0,0.0,0.0,39.0,-666666666.0,2020
01901,2370.0,35.7,26403.0,20787.0,575.0,24.261603375527425,207.0,281100.0,2020
01937,182.0,43.5,-666666666.0,10062.0,126.0,69.23076923076923,22.0,-666666666.0,2020
01089,28527.0,37.1,54516.0,34958.0,2928.0,10.263960458512988,3731.0,235200.0,2020
01259,617.0,55.1,78625.0,50738.0,37.0,5.996758508914101,120.0,378900.0,2020
01507,13610.0,40.2,102531.0,40606.0,607.0,4.459955914768552,2064.0,317800.0,2020
01581,19035.0,38.3,119148.0,56625.0,833.0,4.376149198844234,4349.0,482400.0,2020
22712,8209.0,34.9,88649.0,35103.0,446.0,5.433061274211232,727.0,292900.0,2020
22714,1027.0,39.5,93750.0,48110.0,39.0,3.7974683544303796,166.0,354300.0,2020
22443,8906.0,44.7,53727.0,30738.0,1249.0,14.02425331237368,693.0,204500.0,2020
22454,1968.0,53.2,49267.0,26372.0,436.0,22.15447154471545,142.0,263700.0,2020
22473,5013.0,58.8,50568.0,31015.0,798.0,15.918611609814482,617.0,175000.0,2020
22553,15960.0,37.6,101931.0,38621.0,581.0,3.6403508771929824,2235.0,326400.0,2020
22560,6269.0,44.8,50372.0,26715.0,882.0,14.069229542191737,613.0,204400.0,2020
73014,1623.0,34.8,63882.0,28335.0,277.0,17.067159581022796,105.0,127100.0,2020
73016,2377.0,34.4,97813.0,31978.0,79.0,3.323517038283551,367.0,195100.0,2020
