Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Education_bachelors,Median_home_value,Year,lat,lng,city,state_name,county_names_all,Number of crimes,Prop_crime_rate
98118,49181.0,38.4,82216.0,38751.0,7612.0,15.477521807201969,8952.0,487100.0,2019,47.54235,-122.26872,Seattle,Washington,King,2116,0.043024745
98118,48436.0,38.3,72545.0,35515.0,8500.0,17.548930547526634,8688.0,447200.0,2018,47.54235,-122.26872,Seattle,Washington,King,2372,0.048971839
98118,46800.0,38.6,62504.0,31665.0,9098.0,19.44017094017094,7622.0,396700.0,2017,47.54235,-122.26872,Seattle,Washington,King,2405,0.051388889
98119,26094.0,34.0,106245.0,84553.0,1637.0,6.273472829002836,8607.0,911800.0,2021,47.63943,-122.36932,Seattle,Washington,King,956,0.036636775
98119,26898.0,34.1,93014.0,77713.0,1890.0,7.026544724514834,8658.0,918600.0,2020,47.63943,-122.36932,Seattle,Washington,King,938,0.034872481
98119,26322.0,33.5,96768.0,70915.0,2156.0,8.190866955398526,8296.0,858500.0,2019,47.63943,-122.36932,Seattle,Washington,King,835,0.031722513
98119,25710.0,33.7,90994.0,69497.0,1818.0,7.071178529754959,8223.0,765500.0,2018,47.63943,-122.36932,Seattle,Washington,King,928,0.036094905
98119,25036.0,33.6,85171.0,63806.0,2165.0,8.647547531554562,7917.0,689100.0,2017,47.63943,-122.36932,Seattle,Washington,King,949,0.037905416
98121,21010.0,34.2,135823.0,100574.0,1613.0,7.677296525464064,7563.0,739800.0,2021,47.61548,-122.34668,Seattle,Washington,King,1443,0.06868158
98121,20534.0,34.4,118270.0,94272.0,1522.0,7.412097009837343,7598.0,690900.0,2020,47.61548,-122.34668,Seattle,Washington,King,1343,0.065403721
98121,19494.0,33.8,115323.0,93864.0,1820.0,9.33620601210629,7175.0,613300.0,2019,47.61548,-122.34668,Seattle,Washington,King,1159,0.059454191
98121,18140.0,33.7,111606.0,90936.0,1586.0,8.74310915104741,6130.0,575800.0,2018,47.61548,-122.34668,Seattle,Washington,King,1228,0.0676957
98121,16466.0,33.9,94813.0,81412.0,1713.0,10.403255192517916,5461.0,479600.0,2017,47.61548,-122.34668,Seattle,Washington,King,1170,0.071055508
98122,41541.0,30.9,87418.0,71064.0,5868.0,14.125803423124143,12416.0,795500.0,2021,47.60985,-122.29569,Seattle,Washington,King,2679,0.064490503
98122,41152.0,31.0,81308.0,64120.0,5938.0,14.42943234836703,11682.0,721500.0,2020,47.60985,-122.29569,Seattle,Washington,King,2527,0.061406493
98122,39305.0,31.3,79609.0,60400.0,5471.0,13.919348683373617,11217.0,665900.0,2019,47.60985,-122.29569,Seattle,Washington,King,2195,0.055845312
98122,38620.0,31.3,74598.0,54939.0,6398.0,16.566545831175556,10692.0,600600.0,2018,47.60985,-122.29569,Seattle,Washington,King,2455,0.063568099
98122,37270.0,31.4,72018.0,51420.0,5835.0,15.656023611483768,10657.0,514800.0,2017,47.60985,-122.29569,Seattle,Washington,King,2486,0.066702442
98125,43386.0,37.6,82439.0,51315.0,4522.0,10.42271700548564,10724.0,669800.0,2021,47.71706,-122.29969,Seattle,Washington,King,2211,0.05096114
98125,44030.0,37.8,78263.0,47074.0,4627.0,10.508744038155802,10263.0,617600.0,2020,47.71706,-122.29969,Seattle,Washington,King,2136,0.048512378
98125,42981.0,37.7,70744.0,43606.0,4491.0,10.448802959447198,9826.0,558900.0,2019,47.71706,-122.29969,Seattle,Washington,King,1896,0.044112515
98125,42475.0,37.9,64429.0,40286.0,5774.0,13.59387875220718,9264.0,496800.0,2018,47.71706,-122.29969,Seattle,Washington,King,2133,0.050217775
98125,40803.0,37.8,61014.0,39379.0,5499.0,13.476950224248217,8956.0,437500.0,2017,47.71706,-122.29969,Seattle,Washington,King,2150,0.052692204
98126,22030.0,38.5,97368.0,58158.0,2127.0,9.655015887426236,6279.0,616700.0,2021,47.54732,-122.37454,Seattle,Washington,King,1021,0.046345892
98126,22681.0,39.5,84934.0,52339.0,2360.0,10.40518495657158,6310.0,589600.0,2020,47.54732,-122.37454,Seattle,Washington,King,1001,0.044133857
98126,23646.0,39.4,86983.0,49644.0,2460.0,10.403450900786602,6032.0,563100.0,2019,47.54732,-122.37454,Seattle,Washington,King,949,0.040133638
98126,24329.0,38.0,80142.0,45996.0,3471.0,14.266924246783674,5890.0,507800.0,2018,47.54732,-122.37454,Seattle,Washington,King,1111,0.045665666
98126,23360.0,38.7,73698.0,43163.0,3322.0,14.220890410958903,5801.0,439800.0,2017,47.54732,-122.37454,Seattle,Washington,King,1120,0.047945205
98133,50153.0,40.2,77602.0,47266.0,5188.0,10.344346300321018,11930.0,596500.0,2021,47.7399,-122.34432,Seattle,Washington,King,1517,0.030247443
98133,49476.0,40.4,73702.0,44104.0,4697.0,9.493491794001132,11371.0,548500.0,2020,47.7399,-122.34432,Seattle,Washington,King,1425,0.028801843
98133,48650.0,39.9,68994.0,41067.0,5268.0,10.828365878725592,11004.0,494700.0,2019,47.7399,-122.34432,Seattle,Washington,King,1274,0.02618705
98133,47247.0,40.2,64001.0,38727.0,5580.0,11.810273668169408,10423.0,432000.0,2018,47.7399,-122.34432,Seattle,Washington,King,1408,0.029800834
98133,48390.0,38.7,60409.0,36154.0,6247.0,12.909692085141558,10478.0,380700.0,2017,47.7399,-122.34432,Seattle,Washington,King,1514,0.031287456
98134,808.0,41.2,64375.0,36222.0,257.0,31.806930693069308,150.0,400000.0,2021,47.57691,-122.33686,Seattle,Washington,King,981,1.214108911
98134,779.0,49.4,71607.0,33071.0,277.0,35.5584082156611,147.0,397000.0,2020,47.57691,-122.33686,Seattle,Washington,King,901,1.15661104
98134,833.0,44.4,83472.0,36111.0,288.0,34.57382953181273,147.0,377000.0,2019,47.57691,-122.33686,Seattle,Washington,King,876,1.051620648
98134,804.0,41.7,74773.0,33062.0,270.0,33.582089552238806,130.0,344100.0,2018,47.57691,-122.33686,Seattle,Washington,King,962,1.196517413
98134,844.0,38.6,58125.0,30191.0,294.0,34.834123222748815,145.0,287500.0,2017,47.57691,-122.33686,Seattle,Washington,King,1060,1.255924171
98136,17245.0,40.5,130978.0,71069.0,868.0,5.0333429979704265,5917.0,743300.0,2021,47.53686,-122.38992,Seattle,Washington,King,546,0.031661351
98136,17083.0,41.5,123042.0,68319.0,925.0,5.414739799800972,5659.0,713300.0,2020,47.53686,-122.38992,Seattle,Washington,King,515,0.03014693
98136,16997.0,43.2,113750.0,64679.0,768.0,4.518444431370241,5195.0,673600.0,2019,47.53686,-122.38992,Seattle,Washington,King,466,0.027416603
98136,16607.0,44.2,106240.0,60543.0,827.0,4.979827783464804,4902.0,629000.0,2018,47.53686,-122.38992,Seattle,Washington,King,518,0.031191666
98136,16364.0,43.4,97673.0,55515.0,852.0,5.206550965534099,4769.0,580500.0,2017,47.53686,-122.38992,Seattle,Washington,King,536,0.032754828
98144,31648.0,38.1,90239.0,66670.0,2671.0,8.439711830131445,9056.0,741800.0,2021,47.58582,-122.29205,Seattle,Washington,King,2003,0.063289939
98144,33175.0,37.1,87098.0,60209.0,2675.0,8.063300678221552,9333.0,706200.0,2020,47.58582,-122.29205,Seattle,Washington,King,1999,0.060256217
98144,32439.0,37.3,78414.0,53282.0,3558.0,10.968278923517987,8552.0,667000.0,2019,47.58582,-122.29205,Seattle,Washington,King,1778,0.054810568
98144,31845.0,37.8,74688.0,49610.0,3817.0,11.986183074265975,8101.0,587600.0,2018,47.58582,-122.29205,Seattle,Washington,King,1986,0.062364578
98144,30850.0,38.2,71628.0,45952.0,4021.0,13.034035656401946,7024.0,497300.0,2017,47.58582,-122.29205,Seattle,Washington,King,2019,0.065445705
98146,27879.0,39.4,91667.0,43289.0,3187.0,11.43154345564762,4752.0,490500.0,2021,47.50008,-122.35768,Seattle,Washington,King,114,0.004089099
98146,27622.0,39.4,80633.0,37947.0,3935.0,14.245890956483962,4383.0,460000.0,2020,47.50008,-122.35768,Seattle,Washington,King,108,0.003909927
98146,27780.0,38.7,78750.0,38028.0,3419.0,12.30741540676746,4595.0,429300.0,2019,47.50008,-122.35768,Seattle,Washington,King,99,0.003563715
98146,28022.0,38.2,67556.0,34975.0,3572.0,12.747127257155093,4131.0,384500.0,2018,47.50008,-122.35768,Seattle,Washington,King,113,0.004032546
98146,27587.0,38.4,61160.0,32949.0,3927.0,14.234965744734838,3883.0,350300.0,2017,47.50008,-122.35768,Seattle,Washington,King,117,0.004241128
98155,36081.0,40.1,109731.0,52501.0,2160.0,5.986530306809678,8729.0,634900.0,2021,47.75609,-122.30039,Seattle,Washington,King,36,0.000997755
98155,35420.0,40.4,107109.0,48252.0,2217.0,6.259175607001694,8410.0,590100.0,2020,47.75609,-122.30039,Seattle,Washington,King,34,0.00095991
98155,35041.0,40.9,94054.0,45723.0,2136.0,6.095716446448446,8135.0,528000.0,2019,47.75609,-122.30039,Seattle,Washington,King,31,0.000884678
98155,35028.0,40.9,86525.0,41730.0,2428.0,6.931597579079593,7902.0,463000.0,2018,47.75609,-122.30039,Seattle,Washington,King,35,0.000999201
98155,34436.0,41.4,81405.0,39903.0,2647.0,7.686723196654664,7186.0,411700.0,2017,47.75609,-122.30039,Seattle,Washington,King,36,0.001045418
98168,34614.0,37.6,71977.0,32867.0,4116.0,11.89114231235916,4141.0,389400.0,2021,47.48898,-122.30175,Seattle,Washington,King,1,0.0000289
98168,33217.0,36.5,66237.0,29620.0,4200.0,12.644128006743536,3664.0,353900.0,2020,47.48898,-122.30175,Seattle,Washington,King,1,0.0000301
98168,33401.0,36.2,59120.0,27311.0,4317.0,12.924762731654742,3595.0,330300.0,2019,47.48898,-122.30175,Seattle,Washington,King,1,0.0000299
98168,32738.0,36.6,56885.0,26004.0,4703.0,14.36556906347364,3474.0,295800.0,2018,47.48898,-122.30175,Seattle,Washington,King,1,0.0000305
98168,31771.0,36.6,53992.0,24762.0,5381.0,16.936829183846903,3192.0,269000.0,2017,47.48898,-122.30175,Seattle,Washington,King,1,0.0000315
98177,20561.0,46.2,138401.0,68719.0,1744.0,8.482077719955255,5647.0,837400.0,2021,47.74237,-122.37085,Seattle,Washington,King,256,0.012450756
98177,20422.0,46.5,125036.0,66503.0,1471.0,7.20301635491137,5760.0,769600.0,2020,47.74237,-122.37085,Seattle,Washington,King,242,0.011849966
98177,20676.0,46.2,123672.0,65401.0,972.0,4.7011027278003485,5712.0,732800.0,2019,47.74237,-122.37085,Seattle,Washington,King,223,0.010785452
98177,21619.0,45.6,109571.0,59544.0,1277.0,5.906841204496045,6004.0,679600.0,2018,47.74237,-122.37085,Seattle,Washington,King,265,0.012257736
98177,20278.0,46.8,100036.0,55401.0,1281.0,6.317191044481704,5573.0,601800.0,2017,47.74237,-122.37085,Seattle,Washington,King,261,0.012871092
98178,26282.0,40.0,87788.0,43528.0,3206.0,12.19846282626893,4448.0,494000.0,2021,47.49921,-122.24735,Seattle,Washington,King,270,0.010273191
98178,26507.0,41.0,84820.0,41777.0,2582.0,9.740823178782962,4415.0,444600.0,2020,47.49921,-122.24735,Seattle,Washington,King,260,0.00980873
98178,27335.0,39.1,80283.0,36475.0,3596.0,13.155295408816537,4013.0,397200.0,2019,47.49921,-122.24735,Seattle,Washington,King,243,0.008889702
98178,27280.0,38.4,75282.0,34135.0,3356.0,12.302052785923754,3714.0,362400.0,2018,47.49921,-122.24735,Seattle,Washington,King,277,0.010153959
98178,27279.0,38.5,72478.0,30979.0,4216.0,15.455111990908758,3530.0,335700.0,2017,47.49921,-122.24735,Seattle,Washington,King,290,0.010630888
98195,2259.0,19.2,-666666666.0,4390.0,0.0,0.0,0.0,-666666666.0,2021,47.65466,-122.30752,Seattle,Washington,King,2269,1.004426737
98195,51.0,-666666666.0,-666666666.0,,0.0,0.0,0.0,-666666666.0,2020,47.65466,-122.30752,Seattle,Washington,King,49,0.960784314
98195,48.0,-666666666.0,-666666666.0,,0.0,0.0,0.0,-666666666.0,2019,47.65466,-122.30752,Seattle,Washington,King,42,0.875
98195,51.0,36.4,-666666666.0,,0.0,0.0,0.0,-666666666.0,2018,47.65466,-122.30752,Seattle,Washington,King,50,0.980392157
98195,52.0,55.4,-666666666.0,6962.0,0.0,0.0,0.0,-666666666.0,2017,47.65466,-122.30752,Seattle,Washington,King,54,1.038461538
98199,22890.0,38.9,148878.0,81915.0,1271.0,5.552643075578856,7343.0,934900.0,2021,47.65139,-122.40223,Seattle,Washington,King,620,0.027086064
98199,23444.0,39.0,134709.0,76110.0,1452.0,6.193482340897458,7387.0,889700.0,2020,47.65139,-122.40223,Seattle,Washington,King,604,0.025763522
98199,22720.0,41.3,114551.0,72265.0,1441.0,6.342429577464789,6922.0,835500.0,2019,47.65139,-122.40223,Seattle,Washington,King,533,0.023459507
98199,21954.0,41.6,108328.0,67951.0,1193.0,5.434089459779539,6620.0,762400.0,2018,47.65139,-122.40223,Seattle,Washington,King,586,0.026692175
98199,21660.0,41.4,103309.0,64294.0,973.0,4.492151431209603,6629.0,700800.0,2017,47.65139,-122.40223,Seattle,Washington,King,607,0.028024007
